date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:09	130/130	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2224-1712125253;gz%22	https://zrtechsolutions.com/robots.txt		(from )
12:50:09	53779/53779	---M-Z	200	added ('OK')	text/html	etag:%22d213-6559f2d7-d182123d2aae4118;gz%22	https://zrtechsolutions.com/demo/html/technoit/	zrtechsolutions.com/demo/html/technoit/index.html	(from )
12:50:09	1434/1434	---M--	200	added ('OK')	image/png	etag:%2259a-654ffa3e-185288b3c0bc406c;;;%22	https://zrtechsolutions.com/demo/html/technoit/assets/images/favicon.png	zrtechsolutions.com/demo/html/technoit/assets/images/favicon.png	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:10	2035/2035	---M--	200	added ('OK')	image/png	etag:%227f3-654ffa3e-73f14f53cfd29f08;;;%22	https://zrtechsolutions.com/demo/html/technoit/assets/images/apple-touch-icon.png	zrtechsolutions.com/demo/html/technoit/assets/images/apple-touch-icon.png	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:11	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-654ffa47-b6fb0ace2f65e558;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/vendor/aos/aos.css	zrtechsolutions.com/demo/html/technoit/assets/vendor/aos/aos.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:12	30992/30992	---M-Z	200	added ('OK')	text/css	etag:%227910-654ffa40-758f410afe73415b;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/stylesheets/font-awesome.min.css	zrtechsolutions.com/demo/html/technoit/assets/stylesheets/font-awesome.min.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:13	16466/16466	---M-Z	200	added ('OK')	text/css	etag:%224052-654ffa46-6885ca8111fb3edc;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/vendor/swiper/swiper-bundle.min.css	zrtechsolutions.com/demo/html/technoit/assets/vendor/swiper/swiper-bundle.min.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:14	13749/13749	---M-Z	200	added ('OK')	text/css	etag:%2235b5-654ffa50-229364a52856db86;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/vendor/glightbox/css/glightbox.min.css	zrtechsolutions.com/demo/html/technoit/assets/vendor/glightbox/css/glightbox.min.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:15	194699/194699	---M-Z	200	added ('OK')	text/css	etag:%222f88b-654ffa47-ecbc78f7fc23682c;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/vendor/bootstrap/css/bootstrap.min.css	zrtechsolutions.com/demo/html/technoit/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:16	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-654ffa47-95f6b4f5e7e6d44a;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/vendor/bootstrap-icons/bootstrap-icons.css	zrtechsolutions.com/demo/html/technoit/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:17	66374/66374	---M-Z	200	added ('OK')	text/css	etag:%2210346-656a22f1-2364963fd7e9b383;gz%22	https://zrtechsolutions.com/demo/html/technoit/assets/stylesheets/styles.css	zrtechsolutions.com/demo/html/technoit/assets/stylesheets/styles.css	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:18	53779/53779	---M-Z	200	added ('OK')	text/html	etag:%22d213-6559f2d7-d182123d2aae4118;gz%22	https://zrtechsolutions.com/demo/html/technoit/index.html	zrtechsolutions.com/demo/html/technoit/index-2.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:19	5446/5446	---M--	200	added ('OK')	image/png	etag:%221546-6559f30f-5c9d8208ceb07b04;;;%22	https://zrtechsolutions.com/demo/html/technoit/assets/images/logo.png	zrtechsolutions.com/demo/html/technoit/assets/images/logo.png	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:20	14831/14831	---M-Z	200	added ('OK')	text/html	etag:%2239ef-654ffa3b-aa3c78aad2a1fe1a;gz%22	https://zrtechsolutions.com/demo/html/technoit/services.html	zrtechsolutions.com/demo/html/technoit/services.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:21	14665/14665	---M-Z	200	added ('OK')	text/html	etag:%223949-654ffa3c-1a903866ab11d42b;gz%22	https://zrtechsolutions.com/demo/html/technoit/portfolio.html	zrtechsolutions.com/demo/html/technoit/portfolio.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:22	16880/16880	---M-Z	200	added ('OK')	text/html	etag:%2241f0-654ffa3a-592ccd621b8a4ad3;gz%22	https://zrtechsolutions.com/demo/html/technoit/testimonials.html	zrtechsolutions.com/demo/html/technoit/testimonials.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:23	14371/14371	---M-Z	200	added ('OK')	text/html	etag:%223823-654ffa3a-c26687573847135f;gz%22	https://zrtechsolutions.com/demo/html/technoit/team.html	zrtechsolutions.com/demo/html/technoit/team.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:24	14780/14780	---M-Z	200	added ('OK')	text/html	etag:%2239bc-654ffa3a-77445c2778d52268;gz%22	https://zrtechsolutions.com/demo/html/technoit/about.html	zrtechsolutions.com/demo/html/technoit/about.html	(from https://zrtechsolutions.com/demo/html/technoit/)
12:50:25	16104/16104	---M-Z	200	added ('OK')	text/html	etag:%223ee8-654ffa3b-d41950c8d6a4f453;gz%22	https://zrtechsolutions.com/demo/html/technoit/packages.html	zrtechsolutions.com/demo/html/technoit/packages.html	(from https://zrtechsolutions.com/demo/html/technoit/)
